"기관코드","기관명","검체명","검사명","rslt","제조사명","정답","기준SDI","세부SDI"
"1000003248","목화병원","CU-25-03","-Urobilinogen","-/±","Others","2+, 3+, 4+","",""
"1000003585","새사당의원","CU-25-03","-Urobilinogen","1+","YD diagnostics","2+, 3+, 4+","",""
"1000003592","굿프라임메디컬의원","CU-25-03","-Blood","-","㈜디에프아이","2+, 3+","",""
"1000000005","경북대학교병원","CU-25-03","-Specific Gravity","1.026","Sysmex","","4.00","4.00"
"1000000059","한림대학교 의료원 한강성심병원","CU-25-03","-Specific Gravity","1.021","Sysmex","","-3.14","-3.14"
"1000000129","하나병원","CU-25-03","-Specific Gravity","0.021","Sysmex","","-1431.71","-1431.71"
"1000000139","국군구리병원","CU-25-03","-Specific Gravity","1.020","Sysmex","","-4.57","-4.57"
"1000000212","국립마산병원","CU-25-03","-Specific Gravity","1.036","Sysmex","","18.29","18.29"
"1000000298","근로복지공단 대전병원","CU-25-03","-Specific Gravity","1.015","Siemens Healthineers","","-4.06",""
"1000000438","국립정신건강센터","CU-25-03","-Specific Gravity","1.026","Sysmex","","4.00","4.00"
"1000000466","(의)합포의료재단 SMG연세병원","CU-25-03","-Specific Gravity","1.015","Siemens Healthineers","","-4.06",""
"1000000512","경상북도김천의료원","CU-25-03","-Specific Gravity","1.020","Sysmex","","-4.57","-4.57"
"1000000516","의료법인 일민의료재단 세강병원","CU-25-03","-Leukocyte","-","Abbott","1+, 2+, 3+","",""
